benchmark,solver,iterations,makespan-optimum,makespan,robustness
n1.mm/n110_1.mm,TabuSearch,2500,17,17,14
n1.mm/n110_1.mm,GeneticAlgorithm,2500,17,17,14
n1.mm/n110_1.mm,SimulatedAnnealing,2500,17,18,13
n1.mm/n110_1.mm,HillClimbing,2500,17,18,13
n1.mm/n110_1.mm,RandomSolver,2500,17,20,9
n1.mm/n110_1.mm,TabuSearch,5000,17,17,14
n1.mm/n110_1.mm,GeneticAlgorithm,5000,17,17,14
n1.mm/n110_1.mm,SimulatedAnnealing,5000,17,17,14
n1.mm/n110_1.mm,HillClimbing,5000,17,20,13
n1.mm/n110_1.mm,TabuSearch,1000,17,17,14
n1.mm/n110_1.mm,GeneticAlgorithm,1000,17,17,7
n1.mm/n110_1.mm,SimulatedAnnealing,1000,17,19,15
n1.mm/n110_1.mm,TabuSearch,500,17,19,11
n1.mm/n110_1.mm,HillClimbing,1000,17,17,14
n1.mm/n110_1.mm,RandomSolver,5000,17,20,8
n1.mm/n110_1.mm,GeneticAlgorithm,500,17,17,12
n1.mm/n110_1.mm,SimulatedAnnealing,500,17,17,14
n1.mm/n110_1.mm,HillClimbing,500,17,18,13
n1.mm/n110_1.mm,RandomSolver,1000,17,21,16
n1.mm/n110_1.mm,RandomSolver,500,17,23,15
n1.mm/n110_1.mm,TabuSearch,1000,17,17,14
n1.mm/n110_1.mm,TabuSearch,2500,17,18,13
n1.mm/n110_1.mm,GeneticAlgorithm,1000,17,17,14
n1.mm/n110_1.mm,SimulatedAnnealing,1000,17,18,10
n1.mm/n110_1.mm,HillClimbing,1000,17,17,14
n1.mm/n110_1.mm,GeneticAlgorithm,2500,17,17,14
n1.mm/n110_1.mm,SimulatedAnnealing,2500,17,17,12
n1.mm/n110_1.mm,RandomSolver,1000,17,21,15
n1.mm/n110_1.mm,TabuSearch,500,17,17,14
n1.mm/n110_1.mm,HillClimbing,2500,17,17,7
n1.mm/n110_1.mm,GeneticAlgorithm,500,17,17,13
n1.mm/n110_1.mm,SimulatedAnnealing,500,17,17,11
n1.mm/n110_1.mm,HillClimbing,500,17,18,13
n1.mm/n110_1.mm,RandomSolver,500,17,22,13
n1.mm/n110_1.mm,TabuSearch,5000,17,17,14
n1.mm/n110_1.mm,RandomSolver,2500,17,21,13
n1.mm/n110_1.mm,GeneticAlgorithm,5000,17,17,14
n1.mm/n110_1.mm,SimulatedAnnealing,5000,17,17,14
n1.mm/n110_1.mm,HillClimbing,5000,17,20,16
n1.mm/n110_1.mm,RandomSolver,5000,17,19,10
n1.mm/n110_1.mm,TabuSearch,2500,17,17,14
n1.mm/n110_1.mm,GeneticAlgorithm,2500,17,17,14
n1.mm/n110_1.mm,SimulatedAnnealing,2500,17,17,13
n1.mm/n110_1.mm,HillClimbing,2500,17,17,14
n1.mm/n110_1.mm,RandomSolver,2500,17,21,16
n1.mm/n110_1.mm,TabuSearch,1000,17,17,14
n1.mm/n110_1.mm,TabuSearch,5000,17,17,14
n1.mm/n110_1.mm,GeneticAlgorithm,1000,17,17,14
n1.mm/n110_1.mm,SimulatedAnnealing,1000,17,18,11
n1.mm/n110_1.mm,HillClimbing,1000,17,17,14
n1.mm/n110_1.mm,RandomSolver,1000,17,23,20
n1.mm/n110_1.mm,GeneticAlgorithm,5000,17,17,14
n1.mm/n110_1.mm,HillClimbing,5000,17,17,7
n1.mm/n110_1.mm,TabuSearch,500,17,18,13
n1.mm/n110_1.mm,SimulatedAnnealing,5000,17,17,11
n1.mm/n110_1.mm,GeneticAlgorithm,500,17,17,13
n1.mm/n110_1.mm,SimulatedAnnealing,500,17,19,9
n1.mm/n110_1.mm,HillClimbing,500,17,17,7
n1.mm/n110_1.mm,RandomSolver,500,17,24,10
n1.mm/n110_1.mm,RandomSolver,5000,17,20,6
n1.mm/n110_1.mm,TabuSearch,2500,17,17,14
n1.mm/n110_1.mm,GeneticAlgorithm,2500,17,17,14
n1.mm/n110_1.mm,SimulatedAnnealing,2500,17,17,14
n1.mm/n110_1.mm,HillClimbing,2500,17,18,13
n1.mm/n110_1.mm,RandomSolver,2500,17,22,14
n1.mm/n110_1.mm,TabuSearch,5000,17,17,14
n1.mm/n110_1.mm,GeneticAlgorithm,5000,17,17,14
n1.mm/n110_1.mm,SimulatedAnnealing,5000,17,17,13
n1.mm/n110_1.mm,HillClimbing,5000,17,17,7
n1.mm/n110_1.mm,RandomSolver,5000,17,20,13
n1.mm/n110_1.mm,TabuSearch,1000,17,17,14
n1.mm/n110_1.mm,TabuSearch,500,17,20,16
n1.mm/n110_1.mm,GeneticAlgorithm,1000,17,17,14
n1.mm/n110_1.mm,SimulatedAnnealing,1000,17,18,12
n1.mm/n110_1.mm,HillClimbing,1000,17,17,7
n1.mm/n110_1.mm,HillClimbing,500,17,17,7
n1.mm/n110_1.mm,SimulatedAnnealing,500,17,17,14
n1.mm/n110_1.mm,GeneticAlgorithm,500,17,17,6
n1.mm/n110_1.mm,RandomSolver,500,17,22,13
n1.mm/n110_1.mm,RandomSolver,1000,17,19,8
n1.mm/n110_1.mm,TabuSearch,2500,17,17,14
n1.mm/n110_1.mm,GeneticAlgorithm,2500,17,17,14
n1.mm/n110_1.mm,SimulatedAnnealing,2500,17,18,13
n1.mm/n110_1.mm,HillClimbing,2500,17,17,7
n1.mm/n110_1.mm,TabuSearch,1000,17,17,13
n1.mm/n110_1.mm,TabuSearch,500,17,17,7
n1.mm/n110_1.mm,TabuSearch,5000,17,17,14
n1.mm/n110_1.mm,GeneticAlgorithm,1000,17,17,14
n1.mm/n110_1.mm,HillClimbing,5000,17,17,14
n1.mm/n110_1.mm,SimulatedAnnealing,1000,17,17,14
n1.mm/n110_1.mm,GeneticAlgorithm,500,17,17,14
n1.mm/n110_1.mm,SimulatedAnnealing,500,17,20,13
n1.mm/n110_1.mm,HillClimbing,1000,17,17,7
n1.mm/n110_1.mm,HillClimbing,500,17,18,13
n1.mm/n110_1.mm,RandomSolver,500,17,20,12
n1.mm/n110_1.mm,RandomSolver,1000,17,25,14
n1.mm/n110_1.mm,SimulatedAnnealing,5000,17,17,14
n1.mm/n110_1.mm,RandomSolver,2500,17,22,21
n1.mm/n110_1.mm,GeneticAlgorithm,5000,17,17,14
n1.mm/n110_1.mm,RandomSolver,5000,17,21,7
n1.mm/n110_1.mm,TabuSearch,2500,17,17,14
n1.mm/n110_1.mm,GeneticAlgorithm,2500,17,17,14
n1.mm/n110_1.mm,SimulatedAnnealing,2500,17,17,7
n1.mm/n110_1.mm,HillClimbing,2500,17,19,10
n1.mm/n110_1.mm,RandomSolver,2500,17,19,12
n1.mm/n110_1.mm,TabuSearch,5000,17,17,14
n1.mm/n110_1.mm,GeneticAlgorithm,5000,17,17,14
n1.mm/n110_1.mm,SimulatedAnnealing,5000,17,17,13
n1.mm/n110_1.mm,HillClimbing,5000,17,19,14
n1.mm/n110_1.mm,RandomSolver,5000,17,19,14
