benchmark,solver,iterations,makespan-optimum,makespan,robustness
m2.mm/m210_1.mm,TabuSearch,1000,34,44,29
m2.mm/m210_1.mm,TabuSearch,2500,34,40,26
m2.mm/m210_1.mm,GeneticAlgorithm,1000,34,34,26
m2.mm/m210_1.mm,SimulatedAnnealing,1000,34,40,32
m2.mm/m210_1.mm,HillClimbing,1000,34,40,32
m2.mm/m210_1.mm,GeneticAlgorithm,2500,34,34,36
m2.mm/m210_1.mm,SimulatedAnnealing,2500,34,42,40
m2.mm/m210_1.mm,RandomSolver,1000,34,36,21
m2.mm/m210_1.mm,TabuSearch,500,34,44,28
m2.mm/m210_1.mm,HillClimbing,2500,34,40,25
m2.mm/m210_1.mm,GeneticAlgorithm,500,34,34,18
m2.mm/m210_1.mm,SimulatedAnnealing,500,34,42,31
m2.mm/m210_1.mm,HillClimbing,500,34,40,32
m2.mm/m210_1.mm,RandomSolver,500,34,37,30
m2.mm/m210_1.mm,RandomSolver,2500,34,36,25
m2.mm/m210_1.mm,TabuSearch,5000,34,40,26
m2.mm/m210_1.mm,HillClimbing,5000,34,34,36
m2.mm/m210_1.mm,SimulatedAnnealing,5000,34,37,37
m2.mm/m210_1.mm,GeneticAlgorithm,5000,34,34,32
m2.mm/m210_1.mm,RandomSolver,5000,34,34,28
m2.mm/m210_1.mm,TabuSearch,1000,34,34,35
m2.mm/m210_1.mm,TabuSearch,2500,34,34,36
m2.mm/m210_1.mm,GeneticAlgorithm,1000,34,34,29
m2.mm/m210_1.mm,SimulatedAnnealing,1000,34,42,31
m2.mm/m210_1.mm,HillClimbing,1000,34,43,32
m2.mm/m210_1.mm,GeneticAlgorithm,2500,34,34,36
m2.mm/m210_1.mm,SimulatedAnnealing,2500,34,40,32
m2.mm/m210_1.mm,RandomSolver,1000,34,35,25
m2.mm/m210_1.mm,TabuSearch,500,34,40,25
m2.mm/m210_1.mm,HillClimbing,2500,34,45,27
m2.mm/m210_1.mm,GeneticAlgorithm,500,34,40,22
m2.mm/m210_1.mm,SimulatedAnnealing,500,34,34,19
